Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1000135,15.1,145.4786,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051,11.8,115.3492,5
Regular,FDR28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025896485,13.85,165.021,5
Regular,FDL50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.042277867,12.15,126.5046,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970195,19.6,55.1614,5
Low Fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005505481,8.89,102.4016,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098312421,11.8,81.4618,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026903714,19.7,96.0726,5
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.024129332,20.75,124.173,5
Low Fat,FDX25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568,null,181.9292,5
Low Fat,FDX21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.084554569,null,109.8912,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052044976,18.85,192.1846,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661,17.1,112.3886,5
Low Fat,NCR54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.090486828,16.35,195.211,5
Low Fat,FDH19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824,null,173.1738,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549,20.25,222.1772,5
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147023834,17.85,93.7436,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053,19.2,197.611,5
Low Fat,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.182514881,null,98.77,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293,12.1,178.566,5
Regular,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,null,60.2194,5
Low Fat,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794,null,50.9666,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,6.85,261.6594,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,17.25,173.1764,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065431917,16,76.1986,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241213,13.35,150.2392,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033935576,6.695,221.9456,5
Regular,FDO19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.016516275,null,47.4034,5
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026537206,16.6,57.2614,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131128467,6.92,93.1804,5
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.080640478,5.82,167.779,5
Low Fat,NCQ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.01946418,14.8,196.3794,5
Low Fat,DRJ35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.046545786,10.1,59.9878,5
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.184689756,7.67,35.4216,5
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025342692,15.6,174.3054,5
Low Fat,FDZ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.037923509,9.31,61.651,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121848436,11.8,46.8402,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029746,13.15,88.6856,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057485328,16.25,126.2046,5
Regular,FDP51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.085274988,13.85,119.6124,5
Regular,FDT50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.108148913,6.75,95.6752,5
Regular,FDQ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018838681,null,62.9536,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048115543,10.5,159.0946,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621343,9.3,104.2964,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105994654,20.75,150.5682,5
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.182501773,19.2,239.2196,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048931174,18.1,127.3336,5
Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013658248,17.5,256.3304,5
Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479,10.5,235.5248,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896,7.975,82.425,5
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867353,10,264.6226,5
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024201905,10.1,114.915,5
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028461453,8.93,152.234,5
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086266286,7.3,147.2076,5
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005557062,7.93,122.1414,5
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013834247,15.35,62.7168,5
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016637301,19.35,120.9098,5
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031331581,9.5,111.1228,5
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041459804,10.5,39.2164,5
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.6,111.9518,5
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.003597678,5.88,153.8998,5
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086916126,8.88,153.3682,5
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035247642,10.6,84.7224,5
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028365524,6.13,110.0912,5
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015186146,6.38,144.947,5
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048134591,9.195,107.7622,5
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047791878,11.3,180.766,5
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.007468056,12.6,186.9556,5
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113694957,17.25,253.4724,5
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.067400032,19.1,41.9796,5
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026882496,9.8,126.302,5
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010027885,7.905,249.6408,5
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028988288,10.8,239.2222,5
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020600553,12.1,147.5734,5
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075868843,15.5,261.7568,5
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.079419755,20.7,99.8042,5
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030311951,8,247.4092,5
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030742083,19.5,85.554,5
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02976887,14,145.4786,5
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,20.25,194.2794,5
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066833743,11.3,257.2962,5
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077284566,11.6,172.4106,5
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09942555,16,87.0856,5
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012477512,10.195,197.111,5
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026643448,13.65,37.9532,5
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027386122,9.6,259.2304,5
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011443222,10.695,73.5038,5
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058207114,12.3,59.1562,5
Low Fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.009893817,11.395,50.3034,5
Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.18614827,12.35,78.2328,5
Regular,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.114294512,20.7,94.9436,5
Low Fat,NCQ38,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.023402893,null,108.228,5
Low Fat,FDK02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.196490902,null,120.544,5
Low Fat,FDI15,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.24749009,null,263.1884,5
Low Fat,FDE09,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.037824735,null,109.7228,5
Low Fat,FDS55,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.142107998,null,150.3734,5
Low Fat,FDZ56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.04506213,null,167.5474,5
Low Fat,NCA05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044000492,null,148.2734,5
Low Fat,NCK29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0,null,123.473,5
Low Fat,NCU29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044607722,null,145.976,5
Low Fat,NCX41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.031024168,null,210.5244,5
Low Fat,NCG07,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.091924311,null,189.753,5
Low Fat,NCI30,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.103188491,null,244.346,5
Low Fat,NCR54,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.158562708,null,194.711,5
Low Fat,NCT06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.067824456,null,167.7842,5
Low Fat,FDN15,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.029299175,null,140.318,5
Low Fat,FDJ45,Seafood,2018,OUT019,Tier 1,Small,Grocery Store,0.128532558,null,34.2216,5
Regular,FDL13,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.098606543,null,232.73,5
Regular,FDL02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.182236555,null,107.1622,5
Regular,FDF56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.209162936,null,179.1976,5
Regular,FDQ27,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.077480627,null,101.399,5
Regular,FDG35,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.012327847,null,173.8738,5
Regular,FDD38,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.014342659,null,103.7674,5
Regular,FDE41,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0,null,83.7566,5
Low Fat,FDP24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.083004078,20.6,119.4756,5
Low Fat,FDH38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01043823,6.425,115.8808,5
Low Fat,FDT49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.151405587,7,107.728,5
Low Fat,FDN02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073827748,16.5,208.8638,5
Low Fat,DRF27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.028417272,8.93,154.534,5
Low Fat,FDT02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.024194731,12.6,36.1874,5
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02687089,17.5,264.491,5
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037581243,13.1,175.5054,5
Low Fat,FDZ20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.034306962,16.1,252.3356,5
Low Fat,NCC42,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.044908404,15,140.2838,5
Low Fat,NCQ53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018905326,17.6,234.659,5
Low Fat,NCR54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.090562192,16.35,198.211,5
Low Fat,NCX06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.015687045,17.6,182.6976,5
Low Fat,NCO06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.108030434,19.25,32.4558,5
Low Fat,NCN54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021326471,20.35,76.1328,5
Low Fat,FDL27,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010630949,6.17,65.9826,5
Low Fat,FDV51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032538896,16.35,165.7842,5
Low Fat,FDC46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.116542484,17.7,182.6266,5
Low Fat,FDZ58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.052176861,17.85,122.8072,5
Low Fat,FDN21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.076855628,18.6,161.0236,5
Low Fat,FDO58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.039577173,19.6,166.1526,5
Low Fat,DRD24,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030795085,13.85,143.3154,5
Low Fat,DRI37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.107597879,15.85,58.7904,5
Regular,FDI12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10039894,9.395,89.6856,5
Regular,FDP12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.045266806,9.8,36.9874,5
Regular,FDO01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020718655,21.1,130.4994,5
Regular,FDZ37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019768503,8.1,88.6198,5
Regular,FDJ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023322478,11.35,182.5608,5
Regular,FDM04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04712061,9.195,53.1666,5
Regular,FDI40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.125602951,11.5,100.8358,5
Regular,FDX04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.041571557,19.6,49.9376,5
Regular,FDS15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.078060601,9.195,106.3596,5
Regular,FDJ57,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021573645,7.42,184.6582,5
Regular,FDG21,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.146299902,17.35,150.405,5
Regular,FDW21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.005963881,5.34,99.5358,5
Regular,FDX10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.123710526,6.385,37.1874,5
Low Fat,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,17.25,171.5764,5
Low Fat,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,12.15,39.1506,5
Low Fat,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.073697713,15.35,91.912,5
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.075701524,12,124.6388,5
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.11349714,14.1,56.1956,5
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021420031,8.06,232.0326,5
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.089859642,14.1,140.2496,5
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124301968,19.2,89.7488,5
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.058220302,13.8,247.4802,5
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115563679,9.065,96.0094,5
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12780038,14.3,83.6224,5
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.043651198,5.98,146.1418,5
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041479396,10.5,36.8164,5
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037657459,13.1,175.8054,5
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072444983,14.7,48.6034,5
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.015591925,17.5,184.8266,5
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.096929994,19.1,233.8958,5
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.045761855,19.85,125.602,5
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024432767,9.8,116.4492,5
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041950753,10.8,190.0214,5
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.058855357,11.8,79.1618,5
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024937792,5.88,148.4392,5
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.105459307,6.775,84.625,5
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.070712031,8.42,216.4192,5
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021468792,10,251.675,5
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.177629525,19.1,173.9422,5
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01433033,19.75,104.2332,5
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03324652,12.85,172.4422,5
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041028937,16,142.6496,5
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,5,189.853,5
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05190652,5.73,188.1898,5
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.067592098,7.81,246.0486,5
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.081050006,14.35,79.196,5
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.125210375,6.465,266.8884,5
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.13727,15.85,94.4094,5
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005264755,19.85,264.5884,5
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032811503,7.5,239.6906,5
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021984639,12.3,191.2162,5
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.039517121,18.6,243.6802,5
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052274691,7.72,79.1986,5
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046747071,8.185,49.9692,5
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.020664178,16.35,50.8324,5
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.041065647,9.5,223.5088,5
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016921927,12.1,178.366,5
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.136500981,16.6,173.3422,5
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.030527166,5.175,33.5874,5
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.048388423,5.4,163.0526,5
