Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0,11.395,149.2708,5
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05233528,18.75,108.128,5
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.006012413,6.36,163.0526,5
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059741172,14.6,179.6976,5
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059268885,20.25,246.446,5
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.027052018,20.7,73.9354,5
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.033275634,19.35,173.8738,5
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01005532,21.25,183.1608,5
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.012167988,13.1,190.253,5
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.111931193,17.75,108.8912,5
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.092282353,15.2,227.2352,5
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.012679191,18.2,139.818,5
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048160824,18.6,188.9898,5
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.032242661,5.46,187.624,5
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.030905215,8.42,227.6352,5
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.031330907,14,52.364,5
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.012036432,17.2,165.7184,5
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.063354531,11.35,88.9856,5
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.029782937,14,146.3786,5
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.051596927,20,128.0678,5
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.054565932,20.1,152.2366,5
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.014394261,7.35,241.3512,5
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.053692878,10.1,222.9088,5
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.061301149,5.15,122.1388,5
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0,6.61,186.4898,5
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.011148865,10.3,84.854,5
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01100413,10.5,167.1842,5
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.125528734,13.5,262.191,5
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.044272226,7.52,181.395,5
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.100966837,9.395,86.8856,5
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.141406394,9.8,50.0008,5
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.038102203,17.75,154.0656,5
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.118025091,20.2,195.811,5
Regular,FDQ47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.169137707,7.155,35.2874,5
Regular,FDZ13,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.154363209,7.84,50.835,5
Regular,FDM04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.047387144,9.195,50.8666,5
Regular,FDS04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.147492524,10.195,141.5838,5
Regular,FDV28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0,16.1,35.1558,5
Regular,FDU19,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.047036036,8.77,170.5422,5
Regular,FDE56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.160095901,17.25,61.5194,5
Regular,FDI07,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.033951827,12.35,197.2426,5
Regular,FDU15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,13.65,36.6532,5
Regular,FDU27,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.172446822,18.6,47.1376,5
Regular,FDN39,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065890998,19.35,167.0816,5
Regular,FDV10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.067083367,7.645,44.0112,5
Regular,FDO45,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.038167453,13.15,89.4856,5
Regular,FDB23,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.005620213,19.2,226.6062,5
Low Fat,NCY41,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.076164013,16.75,34.0532,5
Regular,FDW31,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.043402224,11.35,197.0742,5
Regular,FDR55,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.13283066,12.15,190.6872,5
Regular,FDX10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.124410284,6.385,34.3874,5
Low Fat,DRF49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.071064499,7.27,114.4518,5
Low Fat,FDA23,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.047178116,9.8,99.4016,5
Low Fat,FDR60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.130390458,14.3,77.2328,5
Low Fat,FDN60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.095140088,15.1,159.9604,5
Low Fat,FDU48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.055347985,18.85,131.5284,5
Low Fat,FDG60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.060688248,20.35,234.2616,5
Low Fat,FDU11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.092576144,4.785,121.0098,5
Low Fat,FDT49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.151376958,7,108.228,5
Low Fat,FDS37,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.031938828,7.655,114.1492,5
Low Fat,FDK50,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.028357839,7.96,163.2894,5
Low Fat,FDG26,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.042641788,18.85,257.833,5
Low Fat,FDD14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.169776346,20.7,184.4266,5
Low Fat,FDK41,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.127517605,14.3,86.0224,5
Low Fat,FDD16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.036346224,20.5,72.9696,5
Low Fat,FDZ44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.038721734,8.185,115.8808,5
Low Fat,FDO44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.087436672,12.6,109.9228,5
Low Fat,DRL11,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048009081,10.5,157.0946,5
Low Fat,NCU17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.092865746,5.32,100.6674,5
Low Fat,NCL41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.041729735,12.35,36.3216,5
Low Fat,NCS53,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.089761211,14.5,159.4604,5
Low Fat,NCV17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.016104504,18.85,130.2626,5
Low Fat,NCO14,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.029638267,9.6,42.6086,5
Low Fat,NCU18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.055829496,15.1,140.2496,5
Low Fat,NCI54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033592687,15.2,108.1912,5
Low Fat,NCQ50,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0,18.75,213.3218,5
Low Fat,NCC18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.177236497,19.1,172.3422,5
Low Fat,NCQ38,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,0.013363902,16.35,106.128,5
Low Fat,FDL10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.039484739,8.395,97.9042,5
Low Fat,FDE34,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.107870997,9.195,181.2634,5
Low Fat,FDL46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054046706,20.35,119.5466,5
Low Fat,FDH10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.049295686,21,194.4478,5
Low Fat,DRE60,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.159304333,9.395,226.172,5
Low Fat,DRD60,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03722507,15.7,182.4634,5
Regular,FDR36,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.121563385,6.715,43.7454,5
Regular,FDL24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.024891881,10.3,170.9422,5
Regular,FDM36,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.058719726,11.65,171.1422,5
Regular,FDD26,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.072141818,8.71,183.3924,5
Regular,FDI02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11454343,15.7,113.7202,5
Regular,FDE04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018019662,19.75,181.566,5
Regular,FDQ08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018926773,15.7,60.2536,5
Regular,FDV20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.059790095,20.2,127.4678,5
Regular,FDW03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.024536636,5.63,106.1306,5
Regular,FDX51,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.022054553,9.5,195.4452,5
Regular,FDR03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.008734284,15.7,207.898,5
Regular,FDW21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.005962753,5.34,102.4358,5
Regular,FDJ58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.105276162,15.6,173.2764,5
Low Fat,FDR48,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.220111117,11.65,153.0024,5
Low Fat,FDO16,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.02528802,5.48,83.325,5
Low Fat,FDE53,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.044991876,10.895,107.228,5
Low Fat,FDV31,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.178622919,9.8,177.937,5
Low Fat,FDF32,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.113953562,16.35,198.2426,5
Low Fat,DRN35,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.117580062,8.01,36.6532,5
Low Fat,NCQ17,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.195721125,10.3,156.463,5
Low Fat,NCQ41,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.032606181,14.8,193.5794,5
Low Fat,NCN06,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.20168772,8.39,162.8868,5
Low Fat,NCF30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.211306673,17,125.1362,5
Low Fat,FDQ39,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.13564792,14.8,190.8846,5
Low Fat,FDL45,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.063081713,15.6,125.7704,5
Low Fat,FDR10,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.016804724,17.6,163.4552,5
Low Fat,FDZ09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.175545889,17.6,163.6868,5
Low Fat,DRJ13,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.105265475,12.65,159.9578,5
Low Fat,DRD24,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.051544658,13.85,142.5154,5
Low Fat,DRH25,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,0.02442574,18.7,52.9324,5
Regular,FDC60,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.191603334,5.425,87.0514,5
Regular,FDJ36,Baking Goods,2011,OUT010,Tier 3,High,Grocery Store,0.214681063,14.5,102.7332,5
Regular,FDU47,Breads,2011,OUT010,Tier 3,High,Grocery Store,0.190569038,12.8,138.7838,5
Regular,FDA03,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.076097035,18.5,145.8102,5
Regular,FDY40,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.143670179,15.5,48.4692,5
Regular,FDZ16,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.267565911,16.85,194.1478,5
Regular,FDW07,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.238831875,18,88.2514,5
Low Fat,FDW23,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.081944045,5.765,36.7164,5
Low Fat,FDW59,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.020698674,13.15,86.3566,5
Low Fat,DRF27,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.028393624,8.93,153.434,5
Low Fat,FDB15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.136696892,10.895,264.5568,5
Low Fat,FDG16,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.089742065,15.25,213.7192,5
Low Fat,FDJ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.124348482,18,118.3124,5
Low Fat,FDJ32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.057744249,10.695,61.2536,5
Low Fat,FDM56,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.070133177,16.7,109.8912,5
Low Fat,FDB45,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.021312043,20.85,104.9306,5
Low Fat,DRJ23,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.041634206,18.35,188.1872,5
Low Fat,NCN06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.120396991,8.39,163.4868,5
Low Fat,NCF43,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.05190268,8.51,142.247,5
Low Fat,NCG07,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.052458358,12.3,188.753,5
Low Fat,NCB55,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.160529322,15.7,59.2562,5
Low Fat,NCN30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.016979063,16.35,97.441,5
Low Fat,FDF22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.056783389,6.865,214.5218,5
Low Fat,FDQ10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.03315162,12.85,170.6422,5
Low Fat,DRK13,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.11507174,11.8,198.2084,5
Low Fat,DRL37,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.053327763,15.5,44.477,5
Regular,FDL38,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.014720848,13.8,89.9172,5
Regular,FDV13,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.02758789,17.35,86.1856,5
Regular,FDX04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.041536962,19.6,46.0376,5
Regular,FDF53,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.083536989,20.75,180.3318,5
Regular,FDD21,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0,10.3,115.0176,5
Regular,FDO20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.152001201,12.85,252.3382,5
Regular,FDC21,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.042923071,14.6,109.8254,5
Regular,FDV19,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.035227697,14.85,159.5578,5
Regular,FDW43,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.022406575,20.1,225.9036,5
Regular,FDO46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.014200671,9.6,187.1872,5
Regular,FDT10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.061992874,16.7,60.9562,5
Regular,FDB23,Starchy Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.005583951,19.2,226.9062,5
Low Fat,FDN60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.095545715,15.1,157.3604,5
Low Fat,FDU23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.021811987,12.15,163.6184,5
Low Fat,FDM13,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.063432676,6.425,132.8626,5
Low Fat,FDB50,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.154244343,13,77.9986,5
Low Fat,FDC04,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.045168898,15.6,242.9854,5
Low Fat,DRF03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.045492697,19.1,40.3138,5
Low Fat,FDG53,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.046043736,10,140.618,5
Low Fat,FDP16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.039454924,18.6,244.0802,5
Low Fat,FDE08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.049520593,18.2,147.3734,5
Low Fat,FDQ44,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036287517,20.5,121.2756,5
Low Fat,DRJ47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.044430561,18.25,174.208,5
Low Fat,NCO05,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.046749112,7.27,100.4384,5
Low Fat,NCB54,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.050256604,8.76,127.3336,5
Low Fat,NCJ29,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.035336287,10.6,87.0224,5
Low Fat,NCE06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.091857904,5.825,160.7894,5
Low Fat,NCP14,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.110739031,8.275,103.3306,5
Low Fat,NCH06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076866235,12.3,247.146,5
Low Fat,NCH55,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034813556,16.35,128.402,5
Low Fat,NCN42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.014280554,20.25,148.0418,5
Low Fat,FDM03,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.123531974,12.65,108.2938,5
Low Fat,FDK55,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02586664,18.5,88.9172,5
Low Fat,FDU39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036184755,18.85,58.5562,5
Low Fat,NCO07,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.009816092,9.06,211.856,5
Low Fat,FDF22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.057062186,6.865,212.0218,5
Low Fat,FDI46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.074648119,9.5,253.3724,5
Low Fat,FDD22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.100055625,10,113.3544,5
Low Fat,FDZ45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067148407,14.1,200.4084,5
Low Fat,FDT45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.057546914,15.85,55.8956,5
Low Fat,FDL34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.041112694,16,139.9496,5
Low Fat,FDA45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.156012631,21.25,177.337,5
Low Fat,DRI01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,7.97,172.0422,5
Low Fat,DRJ13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.063146492,12.65,159.6578,5
Regular,FDU47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.114318263,12.8,142.2838,5
Regular,FDB02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029283081,9.695,175.137,5
Regular,FDM50,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.030211742,13,59.322,5
Regular,FDC14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,14.5,41.0454,5
Regular,FDH50,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.162093059,15,182.5266,5
Regular,FDD52,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.184041545,18.25,110.157,5
Regular,FDH04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.011419301,6.115,91.0488,5
Regular,FDH56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06407717,9.8,116.7492,5
Regular,FDX31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.014885998,20.35,234.4958,5
Regular,FDO51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042153502,6.785,44.0112,5
Regular,FDV22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.009979271,14.85,155.763,5
Regular,FDJ21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038685176,16.7,146.6102,5
Low Fat,FDI14,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.089243504,null,139.2496,5
Low Fat,FDU25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026552056,null,56.2246,5
Low Fat,FDC53,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.008792907,null,96.7384,5
Low Fat,FDD28,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.053038775,null,59.5904,5
